Lambda,Mu,Generated Packets,P1,P2,P3,P4,P5,P6,P1W,P2W,P3W,P4W,P5W,P6W,Wait Time
491,250,108342,8484,16633,16746,24802,24974,16703,0.061595958628006,0.029470050201407,0.017113475576257,0.009392705870494,0.00828661648114,0.007050002574388,0.017140183529933
501,250,108244,8345,16588,16754,24973,25008,16576,0.072949389454763,0.034246219496021,0.019505068282201,0.010400514355504,0.008971185380678,0.007445989985521,0.01950348321385
511,250,1081634,83312,166048,166636,250225,248992,166421,0.07822795351209909,0.03639670185127192,0.02087275461484913,0.010899832498751124,0.009495434005911836,0.007614525041911778,0.020707553306386448,
521,250,1083930,83183,166864,166731,250202,249818,167132,0.08741417992859118,0.04052232500119858,0.02275340148502678,0.011735456375248799,0.010095493515279124,0.008011086440657683,0.02271730453534822,
531,250,1083442,83339,167062,167132,249630,249456,166823,0.10907615819724259,0.0503978266811124,0.027804395244477417,0.013619464283139046,0.011587254726284394,0.008810223074755878,0.027612875246667563,
541,250,1084006,83584,167051,166114,249517,250499,167241,0.12481429341740045,0.05766851853026919,0.03151144854738312,0.015148134147172336,0.012770170842997376,0.009447277198773028,0.031235213139041665,
551,250,1081366,83107,166374,166267,250210,248949,166459,0.15107726314269557,0.06967380944137906,0.03744191481773292,0.017460109308181124,0.01448921471867732,0.01041566020461495,0.037066444828115545,
561,250,1082910,83378,166250,166644,250012,249509,167117,0.1888905535992708,0.08764344604511277,0.045841693550322846,0.020861888257363646,0.017152992922099,0.012007323545779302,0.045674579669593963,
571,250,1084107,83491,166479,166711,249945,250206,167275,0.25961500269490123,0.11989880150048955,0.062258077193466536,0.02717936834503591,0.02213803414786216,0.014751646958601105,0.06163160371623834,
581,250,1083061,83653,166446,166926,249275,250157,166604,0.3924248571121179,0.18495865136440648,0.09391446478679175,0.03932490271387022,0.03152539692673001,0.01964563380230967,0.09256354464152987,
591,250,1084450,82821,166530,166702,250636,250635,167126,0.6682397233310392,0.32004644875397825,0.15789784366714255,0.06415962173031807,0.050662524519719906,0.02962757953879109,0.15555678474341833,
601,250,1084992,83069,167234,167183,250240,250332,166934,2.0852873245976236,1.013263057380676,0.5046834391116322,0.19140542385310103,0.14917929526788423,0.07994996906561874,0.4844618864010057,
611,250,1083189,83186,166817,166596,249481,249829,167280,7.7092197959632625,3.901023965309291,1.8863159934332157,0.7078051441552663,0.5474425921290162,0.27020182395384984,1.81395795529589,
