Lambda,Generated Packets,Q1#,Q1 Avg Wait,Q1 Drop Rate,Q2#,Q2 Avg Wait,Q2 Drop Rate,Q3#,Q3 Avg Wait,Q3 Drop Rate,
7200,99828,33137,0.0005339882587302225,0.029574191990825966,33395,0.0005441475727431289,0.018445875131007636,33296,0.0005555060585674656,0.00759851033157136,
7300,99864,33162,0.0005537598570765785,0.031180266570170676,33533,0.0005635256027980883,0.01786300062624877,33169,0.000573487189291517,0.007868793150230638,
7400,100392,33401,0.0005428470868150549,0.0296697703661567,33668,0.0005635183231685766,0.018355708684804562,33323,0.0005746742104596113,0.008192539687303064,
7500,100224,33166,0.0005545429058308535,0.03214134957486583,33519,0.0005705859158637613,0.01969032489036069,33539,0.0005832213909626366,0.007901249291869167,
7600,99950,33559,0.0005735620214410563,0.03179474954557645,33333,0.0005870768854533347,0.01905019050190502,33058,0.0006151313800098391,0.008469961885171517,
7700,100040,33396,0.0005837341306624,0.03209965265301234,33355,0.0006010302773472721,0.020326787588067757,33289,0.0006223094078712575,0.009042025894439604,
7800,99656,33157,0.0005715826556164982,0.03218023343487046,33420,0.0005966673889927671,0.019239976062238182,33079,0.0006090831180023922,0.008494815441821095,
7900,99997,33377,0.0005914123307317045,0.033196512568535216,33256,0.000609986958813962,0.01930478710608612,33364,0.0006203433973822708,0.007493106342165208,
8000,99513,33243,0.0006088613178879482,0.03390187407875342,32996,0.0006285015191000123,0.021457146320766153,33274,0.0006431092249141341,0.007964176233695979,
8100,100090,33306,0.0006124303260961389,0.034438239356272146,33361,0.0006346145735521874,0.021522136626599922,33423,0.0006525161141784361,0.008736498818179098,
8200,99796,33543,0.0006584481178473513,0.037384849297916106,33207,0.0006787835819868867,0.02228445809618454,33046,0.0007025375390994557,0.008594080978030624,
8300,99374,33196,0.000631280642053921,0.03488372093023256,33060,0.0006578354618722606,0.020477918935269207,33118,0.000668374374870562,0.009632224168126095,
8400,100089,33497,0.000685985738952089,0.038481058005194496,33312,0.0007088471239371632,0.024375600384245917,33280,0.0007311084416672843,0.009915865384615384,
8500,100231,33217,0.0006558883452297911,0.035945449619170906,33543,0.0006817925322928476,0.023253734013057865,33471,0.0006925520125837923,0.009351378805533148,
8600,99785,33203,0.0006934732036683621,0.0394542661807668,33379,0.0007128326407974201,0.023457862728062554,33203,0.0007349679077201727,0.00903532813300003,
8700,99906,33031,0.0006954095483738248,0.04026520541309679,33285,0.0007323833595316981,0.023223674327775275,33590,0.0007426120534919508,0.01074724620422745,
8800,99889,33166,0.0007089686524535582,0.0392872218537056,33168,0.0007399714087966157,0.02463217559093102,33555,0.000762796742881775,0.010400834450901505,
8900,99841,33021,0.0007305659355444982,0.042306411071742225,33557,0.0007549788842648977,0.02395923354292696,33263,0.0007833193883066304,0.010882963052039804,
9000,99795,33140,0.0007736441936911034,0.04333132166566083,33207,0.0008040212459174187,0.025928268136236336,33448,0.0008396282835134432,0.01064338674958144,
9100,99873,33184,0.0007671031481180061,0.045895612343297976,33346,0.0008164434009300425,0.02773945900557788,33343,0.0008401745124236061,0.011006808025672554,
9200,99391,33051,0.0007825373618818492,0.04211672869202142,32877,0.0008040375928177877,0.026766432460382638,33463,0.0008316499595573729,0.010788034545617548,
9300,99799,33305,0.0008549672157165907,0.04963218735925537,33145,0.0008961915461218373,0.02989892894855936,33349,0.0009372479023916907,0.012474137155536897,
9400,100148,33172,0.0008809967410491821,0.04895695164596648,33427,0.0009125572571301583,0.030992909923116044,33549,0.0009654222446928832,0.013413216489314138,
9500,100181,33028,0.0009415850211624738,0.053197287150296715,33346,0.0009915835250013162,0.032867510346068496,33807,0.001040657792605113,0.014464460023072145,
9600,100007,33213,0.0009330069815076656,0.052840755126004876,33274,0.0009823827098672617,0.03423093105728196,33520,0.0010178634132552292,0.014528639618138425,
9700,100252,33365,0.0009670102442650966,0.05442829312153454,33405,0.0010279351177447738,0.03415656338871426,33482,0.0010872330925012516,0.014515261931784242,
9800,99977,33361,0.0009768583077877583,0.054254968376247714,33397,0.0010256885787958971,0.03500314399496961,33219,0.001082250894249942,0.01484090430175502,
9900,99699,33237,0.0010680240124864356,0.05978277221169179,33238,0.0011230789420037526,0.036283771586738074,33224,0.0011849259924789912,0.014627979773657597,
10000,99696,33374,0.0010198477272516167,0.057649667405764965,32978,0.0010696006507226134,0.03559949056947056,33344,0.0011172299003814588,0.015535028790786947,
10100,99767,33238,0.0013319730158512894,0.0766291593958722,33577,0.001410058552636964,0.04532864758614528,32952,0.0015228100508637883,0.02081815974751153,
10200,100232,33485,0.0013317505891980122,0.07854263102881888,33145,0.0014325504066687153,0.0454065469904963,33602,0.001514328347819941,0.02071305279447652,
10300,99960,33357,0.0013293181060909866,0.0769853404083101,33663,0.0014278199292683351,0.045331669785818256,32940,0.001501556847746018,0.020066788099574986,
10400,99398,33414,0.0013244640370907437,0.07873945052971808,33068,0.001413629062030892,0.04551227773073666,32916,0.0014825271186037384,0.022177664357759145,
10500,99924,33388,0.001508501697522203,0.09087097160656524,33195,0.0016886494605080047,0.055219159511974696,33341,0.001810327467122505,0.024504363996280854,
10600,100288,33299,0.0016110438805058075,0.09513799213189585,33484,0.001726283812037817,0.06020786047067256,33505,0.0018605869368800703,0.024712729443366662,
10700,100182,33334,0.00196332270936667,0.11588768224635507,33334,0.002124791605075894,0.07337853242935141,33514,0.0023155454885232882,0.03186727934594498,
10800,99940,33134,0.0018147197543296745,0.10880062775396873,33200,0.0019812133484783294,0.06789156626506024,33606,0.00213539266192507,0.02931024221865143,
10900,100040,33358,0.0020151149878170523,0.11937166496792373,33477,0.00219611313354398,0.07575350240463602,33205,0.002391179538508284,0.03315765697937058,
11000,100207,33647,0.003077185781760654,0.20269266205010847,33272,0.0036122800239295314,0.13425703294061073,33288,0.004198586184449183,0.05635664503725066,
11100,99689,33008,0.002746395767438873,0.18583373727581193,33527,0.0033017862588271144,0.11957526769469383,33154,0.003846273759772223,0.05546842010013875,
11200,99499,32942,0.0033464269858575675,0.22354441138971526,33253,0.0039836754796359584,0.14221273268577272,33304,0.004650382320078813,0.0642865721835215,
11300,99707,33346,0.00451794683493281,0.4085947340010796,33476,0.006521026191289178,0.29916955430756365,32885,0.009594190684792286,0.1498859662460088,
11400,99983,33317,0.004952032839643054,0.7410030915148422,33328,0.009564761908639419,0.5981156985117618,33338,0.019151048616019666,0.34006239126522286,
11500,100447,33432,0.0025924666584930737,0.8819095477386935,33429,0.0067522417859679626,0.7936223039875557,33586,0.022940532185258815,0.5535342106830227,
11600,99906,33365,0.003264968958281734,0.8733702982166941,33256,0.008179691409652697,0.7615167187875872,33285,0.023239939627613653,0.49565870512242755,
11700,99963,33473,0.0016025805490862861,0.9291070414961312,33171,0.004546425530887771,0.8711525127370293,33319,0.021083753076386835,0.6802725171823885,
11800,100303,33336,0.0010076854519091515,0.947174226061915,33310,0.0028716962392502407,0.9094265986190333,33657,0.01685172023729523,0.7765397985560211,
11900,100457,33675,0.0009696009731317388,0.9442910170749814,33257,0.0025228602141450316,0.9149652704693748,33525,0.014924160103584801,0.792572706935123,
